"키","분류1","분류2","분류3","검색어","명칭","행정 시","행정 구","행정 동"
"BE_IW16-0293","한식/중식/일식","전통음식","한식 일반","막내회쎈타","막내회쎈타","서울특별시","영등포구","영등포본동"
"BE_IW16-0294","한식/중식/일식","전통음식","한식 일반","만발","만발","서울특별시","서초구","방배4동"
"BE_IW16-0295","한식/중식/일식","전통음식","한식 일반","만선","만선","서울특별시","성북구","동선동"
"BE_IW16-0296","한식/중식/일식","전통음식","한식 일반","맛골","맛골","서울특별시","성북구","석관동"
"BE_IW16-0297","한식/중식/일식","전통음식","한식 일반","먹골","먹골","서울특별시","관악구","청룡동"
"BE_IW16-0298","한식/중식/일식","전통음식","한식 일반","먹골촌","먹골촌","서울특별시","중랑구","신내1동"
"BE_IW16-0299","한식/중식/일식","전통음식","한식 일반","먹골촌","먹골촌","서울특별시","중랑구","신내1동"
"BE_IW16-0300","한식/중식/일식","전통음식","한식 일반","메밀촌","메밀촌","서울특별시","성북구","월곡2동"
"BE_IW16-0301","한식/중식/일식","전통음식","한식 일반","메밀촌","메밀촌","서울특별시","은평구","응암1동"
"BE_IW16-0302","한식/중식/일식","전통음식","한식 일반","메밀촌","메밀촌","서울특별시","중랑구","중화2동"
"BE_IW16-0303","한식/중식/일식","전통음식","한식 일반","명가","명가","서울특별시","용산구","이태원1동"
"BE_IW16-0304","한식/중식/일식","전통음식","한식 일반","명동교자","명동교자","서울특별시","중구","명동"
"BE_IW16-0305","한식/중식/일식","전통음식","한식 일반","명동칼국수","명동칼국수","서울특별시","마포구","서강동"
"BE_IW16-0306","한식/중식/일식","전통음식","한식 일반","명동칼국수","명동칼국수","서울특별시","은평구","응암1동"
"BE_IW16-0307","한식/중식/일식","전통음식","한식 일반","명문기사식당","명문기사식당","서울특별시","송파구","삼전동"
"BE_IW16-0308","한식/중식/일식","전통음식","한식 일반","명산장어","명산장어","서울특별시","서초구","내곡동"
"BE_IW16-0367","한식/중식/일식","전통음식","한식 일반","버드나무집","버드나무집","서울특별시","도봉구","창2동"
"BE_IW16-0368","한식/중식/일식","전통음식","한식 일반","버드나무집","버드나무집","서울특별시","성동구","왕십리도선동"
"BE_IW16-0369","한식/중식/일식","전통음식","한식 일반","버드나무집/서초동본점","버드나무집서초동본점","서울특별시","서초구","서초2동"
"BE_IW16-0370","한식/중식/일식","전통음식","한식 일반","버섯마을","버섯마을","서울특별시","용산구","한강로동"
"BE_IW16-0371","한식/중식/일식","전통음식","한식 일반","범스","범스","서울특별시","강남구","청담동"
"BE_IW16-0372","한식/중식/일식","전통음식","한식 일반","벽제갈비","벽제갈비","서울특별시","송파구","방이1동"
"BE_IW16-0373","한식/중식/일식","전통음식","한식 일반","별궁식당","별궁식당","서울특별시","종로구","삼청동"
"BE_IW16-0374","한식/중식/일식","전통음식","한식 일반","별당","별당","서울특별시","강북구","우이동"
"BE_IW16-0375","한식/중식/일식","전통음식","한식 일반","별미정","별미정","서울특별시","성북구","보문동"
"BE_IW16-0376","한식/중식/일식","전통음식","한식 일반","볏짚구이마을","볏짚구이마을","서울특별시","양천구","신월7동"
"BE_IW16-0377","한식/중식/일식","전통음식","한식 일반","볏짚구이마을","볏짚구이마을","서울특별시","강남구","일원1동"
"BE_IW16-0378","한식/중식/일식","전통음식","한식 일반","병천순대","병천순대","서울특별시","동작구","노량진2동"
"BE_IW16-0379","한식/중식/일식","전통음식","한식 일반","병천순대","병천순대","서울특별시","영등포구","양평2동"
"BE_IW16-0380","한식/중식/일식","전통음식","한식 일반","보리수","보리수","서울특별시","강남구","대치2동"
"BE_IW16-0381","한식/중식/일식","전통음식","한식 일반","보릿골","보릿골","서울특별시","강동구","둔촌2동"
"BE_IW16-0382","한식/중식/일식","전통음식","한식 일반","보물섬","보물섬","서울특별시","서대문구","연희동"
"BE_IW16-0383","한식/중식/일식","전통음식","한식 일반","보원","보원","서울특별시","영등포구","영등포동"
"BE_IW16-0384","한식/중식/일식","전통음식","한식 일반","보통사람","보통사람","서울특별시","서대문구","신촌동"
"BE_IW16-0385","한식/중식/일식","전통음식","한식 일반","본가","본가","서울특별시","중구","명동"
"BE_IW16-0386","한식/중식/일식","전통음식","한식 일반","본가","본가","서울특별시","마포구","서교동"
"BE_IW16-1096","한식/중식/일식","전통음식","한식 일반","회령","회령","서울특별시","노원구","하계1동"
"BE_IW16-1097","한식/중식/일식","전통음식","한식 일반","후포항","후포항","서울특별시","강남구","도곡2동"
"BE_IW16-1098","한식/중식/일식","전통음식","한식 일반","흑돈가","흑돈가","서울특별시","강남구","삼성1동"
"BE_IW16-1099","한식/중식/일식","전통음식","한식 일반","흑돈가","흑돈가","서울특별시","노원구","공릉1동"
"BE_IW16-1100","한식/중식/일식","전통음식","한식 일반","흑석골","흑석골","서울특별시","동작구","흑석동"
"BE_IW16-1101","한식/중식/일식","전통음식","한식 일반","흥부네","흥부네","서울특별시","용산구","보광동"
"BE_IW16-1102","한식/중식/일식","전통음식","한식 일반","희락","희락","서울특별시","강남구","삼성2동"
"BE_IW16-1103","한식/중식/일식","전통음식","한식 일반","희래","희래","서울특별시","서초구","양재2동"
"BE_IW16-1104","한식/중식/일식","전통음식","한식 일반","힐하우스","힐하우스","서울특별시","관악구","성현동"
"BE_IW16-0309","한식/중식/일식","전통음식","한식 일반","명주","명주","서울특별시","도봉구","방학1동"
"BE_IW16-0310","한식/중식/일식","전통음식","한식 일반","모두","모두","서울특별시","서초구","방배4동"
"BE_IW16-0311","한식/중식/일식","전통음식","한식 일반","모아","모아","서울특별시","강남구","청담동"
"BE_IW16-0312","한식/중식/일식","전통음식","한식 일반","목련식당","목련식당","서울특별시","강남구","논현2동"
"BE_IW16-0313","한식/중식/일식","전통음식","한식 일반","목로","목로","서울특별시","강남구","신사동"
"BE_IW16-0314","한식/중식/일식","전통음식","한식 일반","목멱산방","목멱산방","서울특별시","중구","필동"
"BE_IW16-0315","한식/중식/일식","전통음식","한식 일반","목포","목포","서울특별시","관악구","성현동"
"BE_IW16-0316","한식/중식/일식","전통음식","한식 일반","목포낙지","목포낙지","서울특별시","중구","동화동"
"BE_IW16-0317","한식/중식/일식","전통음식","한식 일반","목포자매집","목포자매집","서울특별시","강남구","논현2동"
"BE_IW16-0318","한식/중식/일식","전통음식","한식 일반","목포집","목포집","서울특별시","동대문구","용신동"
"BE_IW16-0319","한식/중식/일식","전통음식","한식 일반","무돌","무돌","서울특별시","강남구","청담동"
"BE_IW16-0320","한식/중식/일식","전통음식","한식 일반","무화잠","무화잠","서울특별시","강남구","논현1동"
"BE_IW16-0321","한식/중식/일식","전통음식","한식 일반","문","문","서울특별시","강남구","대치4동"
"BE_IW16-0322","한식/중식/일식","전통음식","한식 일반","뮤즈","뮤즈","서울특별시","강남구","논현2동"
"BE_IW16-0323","한식/중식/일식","전통음식","한식 일반","미가","미가","서울특별시","광진구","중곡1동"
"BE_IW16-0324","한식/중식/일식","전통음식","한식 일반","미가","미가","서울특별시","광진구","화양동"
"BE_IW16-0325","한식/중식/일식","전통음식","한식 일반","미가할매","미가할매","서울특별시","관악구","신림동"
"BE_IW16-0326","한식/중식/일식","전통음식","한식 일반","미담","미담","서울특별시","양천구","목5동"
"BE_IW16-0327","한식/중식/일식","전통음식","한식 일반","미담","미담","서울특별시","양천구","목5동"
"BE_IW16-0328","한식/중식/일식","전통음식","한식 일반","미도","미도","서울특별시","관악구","인헌동"
"BE_IW16-0329","한식/중식/일식","전통음식","한식 일반","미도","미도","서울특별시","강남구","도곡2동"
"BE_IW16-0330","한식/중식/일식","전통음식","한식 일반","미락","미락","서울특별시","동대문구","용신동"
"BE_IW16-0331","한식/중식/일식","전통음식","한식 일반","미락","미락","서울특별시","동작구","신대방2동"
"BE_IW16-0332","한식/중식/일식","전통음식","한식 일반","미락","미락","서울특별시","마포구","공덕동"
"BE_IW16-0333","한식/중식/일식","전통음식","한식 일반","미락식당","미락식당","서울특별시","송파구","석촌동"
"BE_IW16-0334","한식/중식/일식","전통음식","한식 일반","미락식당","미락식당","서울특별시","양천구","신정4동"
"BE_IW16-0335","한식/중식/일식","전통음식","한식 일반","미르","미르","서울특별시","종로구","사직동"
"BE_IW16-0336","한식/중식/일식","전통음식","한식 일반","미르","미르","서울특별시","중구","중림동"
"BE_IW16-0337","한식/중식/일식","전통음식","한식 일반","미산","미산","서울특별시","강남구","논현1동"
"BE_IW16-0338","한식/중식/일식","전통음식","한식 일반","미성옥","미성옥","서울특별시","중구","명동"
"BE_IW16-0339","한식/중식/일식","전통음식","한식 일반","미향","미향","서울특별시","강남구","역삼2동"
