분류,자치구,공연/행사명,날짜/시간,장소,기관명,이용대상,이용요금,출연자정보,프로그램소개,기타내용,홈페이지?주소,대표이미지,신청일,시민/기관,시작일,종료일,테마분류
클래식,금천구,[무료공연] 2022 금천우리동네오케스트라 향상음악회 '항상 옆에 있는 우리',2022-07-01~2022-07-01,금나래아트홀,금천문화재단,전체관람가,,,,,https://gcfac.or.kr/board/noticeDetail?notice_gb=&board_seq=7790&gcfac_menu_cd=U0139&currRow=1&scType=all&srch_input=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=312f2cc85e734300aeff1c3c14913705&thumb=Y,2022-06-28,기관,2022-07-01,2022-07-01,
클래식,종로구,제4회 소노로스 앙상블 정기연주회,2022-07-01~2022-07-01,세종체임버홀,세종문화회관,미취학 아동 입장불가,"R석 70,000원 / S석 50,000원 / A석 30,000원",,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=33359&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c471e4e9f921458196d452e3b5a5cd09&thumb=Y,2022-07-01,기관,2022-07-01,2022-07-01,
교육/체험,구로구,[구로구립 궁동어린이도서관] 길 위의 인문학 2차주제 '메타버스' 모집,2022-06-30~2022-07-30,"강의 -온라인 ZOOM, 탐방 - 국립과천과학관",,초등학생 3~6학년,무료,김윤숙 강사,2022년 구로구립 궁동어린이도서관 「길 위의 인문학 」접수,,https://lib.guro.go.kr/#/libprg/culture-lecture/detail/2203,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f8bbefed72a9451d9125b8ac152fb2f9&thumb=Y,2022-06-08,기관,2022-06-30,2022-07-30,어린이/청소년 문화행사
영화,마포구,성평등 영화강좌 [2022 씨네페미니즘학교],2022-06-30~2022-07-28,"실시간 온라인 강의(ZOOM 접속, 비대면)",,동시대 첨예하고 논쟁적인 여성주의 이론과 영화비평에 관심있는 서울시민,강좌당 1만원(패키지 수강시 10%할인),"황미요조 서울국제여성영화제 프로그래머, 김소희 영화평론가, 정보라 번역가/소설가, 코트니 스티븐스 영화감독, 강유가람 영화감독","서울시 성평등기금의 후원으로 진행되는 <2022 씨네페미니즘학교>는 여성주의 시각을 바탕으로 영화 비평의 깊이를 더해주는 공론의 장을 마련, 서울시민의 성인지 감수성을 확대하고 성숙하고 평등한 문화 기반을 마련하고자 합니다.",,https://siwff.or.kr/kor/artyboard/Mboard.asp?Action=view&strBoardID=RAYO_V9DG&intSeq=21947,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=7540e39aa6c84522917dfcfbaeb23a30&thumb=Y,2022-06-10,기관,2022-06-30,2022-07-28,여성 문화행사
교육/체험,도봉구,시민기획프로젝트 [쓰레기 영웅의 그림책],2022-06-30~2022-07-09,평화문화진지,도봉문화재단,시민,"5,000원",,,,http://www.dbfac.or.kr/front/supportManageReq/supportManageView.do?miv_pageNo=&miv_pageSize=6&total_cnt=&LISTOP=&mode=V&seq=715&searchkey=NAME&search_gb=&gubun=05&search_gb2=All&gubun2=&searchType=title&searchtxt=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9a36ad42f41242f29a0317903114f7dc&thumb=Y,2022-06-17,기관,2022-06-30,2022-07-09,
무용,종로구,안은미 솔로 `은미와 영규와 현진` _싱크넥스트22,2022-06-30~2022-07-03,세종S씨어터,,만 15세 이상(2007년 12월 31일 포함 이전 출생자까지) 입장가 ,"전석 50,000원",,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=33191&menuNo=200004&sdate=2022-05-30&searchWrd=&searchSort=2&searchCnd=1&edate=2022-06-30&searchPackage=&searchPlaceCdStr=P%2CALL&pageIndex=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a59f09982a6c41b383255fe4d38090cd&thumb=Y,2022-05-30,기관,2022-06-30,2022-07-03,
연극,강북구,파경 : 대한민국신진연출가전,2022-06-30~2022-07-03,꿈의숲 퍼포먼스홀,,만 13세이상 관람가,"전석 20,000원",,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=33236&menuNo=200004&sdate=2022-06-29&searchWrd=&searchSort=1&searchCnd=1&edate=2022-07-29&searchPackage=&searchPlaceCdStr=P%2CALL&pageIndex=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4816d56afbb24ae181b48ecb82b45f24&thumb=Y,2022-06-29,기관,2022-06-30,2022-07-03,
콘서트,금천구,다이나믹브레이킹쇼_진조크루,2022-06-30~2022-06-30,금나래아트홀 공연장,금천문화재단,홈페이지 참고,"전석 10,000원",,,,https://gcfac.or.kr/performance/commonView?gcfac_menu_cd=U0007&currRow=1&seq_no=3471&perDisGubun=performance&returnURI=%2Fperformance%2FcurrentList&serhDate=&serhPerforDisplay=&serhTitle=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c05c7bee6b2940a8b3936a082aeee3e1&thumb=Y,2022-05-31,기관,2022-06-30,2022-06-30,
클래식,종로구,2022 퇴근길 토크 콘서트 II: 여름 스케치,2022-06-30~2022-06-30,대한성공회 서울주교좌성당,서울시립교향악단,홈페이지 참고,"10,000원",,,,https://seoulphil.or.kr/perf/view?perfNo=5029&calendarDate=&langCd=ko&menuFlag=MFLG0001,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4d175270682843e191aa7956b2febcbd&thumb=Y,2022-06-24,기관,2022-06-30,2022-06-30,
콘서트,종로구,[서울역사박물관] 22.6.30.(목) 개관20주년 기념음악회 개최,2022-06-30~2022-06-30,서울역사박물관 1층 로비,서울역사박물관,일반시민,,,,,https://museum.seoul.go.kr/www/board/NR_boardView.do?sso=ok,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=095b0b737b6f4d93acfb5d106ee58674&thumb=Y,2022-06-24,기관,2022-06-30,2022-06-30,
전시/미술,중구,NANJI ACCESS with PACK: Mbps,2022-06-29~2022-08-15,서울시립미술관 3층 프로젝트 갤러리,,누구나,,,,,https://sema.seoul.go.kr/kr/whatson/exhibition/detail?exNo=1065749,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=8af17d033c1c474bb9fcc2f8009d90fd&thumb=Y,2022-07-25,기관,2022-06-29,2022-08-15,
교육/체험,동대문구,"2022년 마을 속 선농단, 도시농부학교",2022-06-29~2022-08-10,선농단역사문화관,동대문문화재단,홈페이지 참고,무료(텃밭상자 배부),,,,https://www.ddmac.or.kr/sub02/sub04.php,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=8a357bdefd84459fb3cf5cb4b070a126&thumb=Y,2022-06-22,기관,2022-06-29,2022-08-10,
기타,마포구,[서강도서관][6월/팟캐스트] 서강도서관 피셜 24회 '피스모모',2022-06-29~2022-07-31,온라인(팟빵),,누구나,,,,,https://mplib.mapo.go.kr/sglib/MENU1199/PGM3028/eventDetail.do?currentPageNo=1&eventSn=5287,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ca5b557adae4487ca1e8eeb18c7a40c0&thumb=Y,2022-07-02,기관,2022-06-29,2022-07-31,기타
전시/미술,성동구,[갤러리허브] 일상의변화,2022-06-29~2022-07-13,갤러리허브 (성동구 왕십리광장로 17 비트플렉스 4층),,누구나,홈페이지 참고,,,,https://www.sdfac.or.kr/kor/sdfac/performance/plan_view.do?p_idx=729&page=1&p_kind=exhibit&s_idx=&s_keyword=#none,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=2088703436174a88ae803a7427ad95fa&thumb=Y,2022-06-29,기관,2022-06-29,2022-07-13,
국악,서초구,[국립국악원] 민속악단 기획공연 '관현과 놀다 - 자작자주(自作自註)',2022-06-29~2022-06-30,국립국악원 풍류사랑방,,8세 이상,전석 2만원,,,,https://www.gugak.go.kr/site/program/performance/detail?menuid=001001001&performance_id_main=25605,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=346f5f1db2d7467b8a2dd563c38d6627&thumb=Y,2022-06-13,기관,2022-06-29,2022-06-30,
교육/체험,구로구,[꿈마을도서관] 6월 문화가 있는 날 [사서추천도서 '분류번호 500'],2022-06-29~2022-06-29,꿈마을도서관 2층 종합자료실,,도서관 이용자,,,,,https://lib.guro.go.kr/#/libprg/culture-lecture/detail/2187,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=fe8a236a79e04b8abc8a670826f1f4d5&thumb=Y,2022-05-24,기관,2022-06-29,2022-06-29,문화가 있는 날
기타,중구,만화의집 '이재민' 웹툰 평론가와 함께하는 웹툰 토크(6/29),2022-06-29~2022-06-29,서울애니메이션센터1층 만화의집,,"웹툰 관련 종사자, 예비 작가 및 누구나",,,,,https://www.ani.seoul.kr/ani/introduce/notice/view.sba?bIdx=3620&pageIndex=&searchCate=&searchCondition=0&searchKeyword=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=285a5d9069c04305ae6acef48cdca880&thumb=Y,2022-06-27,기관,2022-06-29,2022-06-29,기타
영화,종로구,개관20주년 기념 배리어프리영화관 [드림빌더] 특별상영,2022-06-29~2022-06-29,서울역사박물관 1층 강당(야주개홀),https://museum.seoul.go.kr/www/board/NR_boardView.do?bbsCd=1018&seq=20220627092745688&sso=ok ,제한없음,무료,,https://museum.seoul.go.kr/www/board/NR_boardView.do?bbsCd=1018&seq=20220627092745688&sso=ok ,,https://museum.seoul.go.kr/www/board/NR_boardView.do?bbsCd=1018&seq=20220627092745688&sso=ok ,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e7617b925d6b448899b00ab5698fc184&thumb=Y,2022-06-27,기관,2022-06-29,2022-06-29,기타
교육/체험,구로구,[구로구립 궁동어린이도서관] 2022년 6월 문화가 있는 날,2022-06-29~2022-06-29,궁동어린이도서관,,도서관이용자,,,,,http://lib.guro.go.kr,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=71d50eff400e431eba9d6eabf16e31b8&thumb=Y,2022-06-26,기관,2022-06-29,2022-06-29,어린이/청소년 문화행사
기타,구로구,[개봉어린이도서관 ] 6월 문화가 있는 날,2022-06-29~2022-06-29,개봉어린이도서관,,도서관이용자,무료,,,,https://lib.guro.go.kr/#/libprg/culture-lecture/detail/2248,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a5cbd0c43fc74ae798e5cad047d3df5e&thumb=Y,2022-06-22,기관,2022-06-29,2022-06-29,문화가 있는 날
콘서트,서초구,제53회 수요열린음악회 [미드나잇콘서트 - 오페라갈라] (06/29 ~ 06/29),2022-06-29~2022-06-29,서초문화예술회관 아트홀,서초문화원,홈페이지 참고,홈페이지 참고,,,,http://socc.or.kr/bbs/board.php?bo_table=sub04_01&year=2022&month=6&wr_id=330&sc_no=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=38b287675cf6407ea1479b1e8c042630&thumb=Y,2022-06-21,기관,2022-06-29,2022-06-29,
기타,성동구,문화가 있는 날 [풋풋한 성동-오늘도 바람],2022-06-29~2022-06-29,다락옥수,성동문화재단,8세 이상,,,,,https://www.sdfac.or.kr/kor/sdfac/performance/plan_view.do?p_idx=725&page=1&p_kind=&s_idx=&s_keyword=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=787b7a51cd2d475198056930993020c9&thumb=Y,2022-06-21,기관,2022-06-29,2022-06-29,
클래식,서초구,곽레나 윤도근 듀오콘서트,2022-06-29~2022-06-29,심산문화센터 반포심산아트홀,서초문화재단,만 7세 이상(초등학생 이상),"전석 30,000원",,,,https://www.seochocf.or.kr/site/main/seocho/show/view?show_idx=457,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b72896a3ab754c5f9cba16c572424ad4&thumb=Y,2022-06-21,기관,2022-06-29,2022-06-29,
